name,facebook,facebook_likes,facebook_followers,twitter,youtube,youtube_subscribers,youtube_videos,tiktok,snapchat,linkedin,wikipedia,wikipedia_languages_num,site,github,github_followers,alternativeto,alternativeto_likes,alternativeto_stars,alternativeto_ratings_num,g2,g2_stars,g2_reviews,producthunt,capterra,capterra_stars,capterra_ratings_num,similarweb,similarweb_total_visits,similarweb_bounce_rate,similarweb_pages_visit,similarweb_avg_visit
Clickteam Fusion,https://www.facebook.com/clickteam,11K,11K,http://twitter.com/clickteam,https://www.youtube.com/@ClickteamLLC,56.6K,372,x,x,https://www.linkedin.com/company/clickteam-usa-llc,https://en.wikipedia.org/wiki/Clickteam,7,https://www.clickteam.com/clickteam-fusion-2-5,x,x,https://alternativeto.net/software/multimedia-fusion-2/about,39,5,1,x,x,x,x,https://www.capterra.com/p/250587/Clickteam-Fusion,x,x,https://www.similarweb.com/website/clickteam.com/#overview,102.8K,46.7,3.24,00:02:05
Construct 3,https://www.facebook.com/ConstructTeam,23K,23K,https://twitter.com/ConstructTeam,https://www.youtube.com/c/Construct,15.5K,293,x,x,x,https://en.wikipedia.org/wiki/Construct_(game_engine),7,https://www.construct.net,https://github.com/Scirra,6,https://alternativeto.net/software/construct-3/about,81,4.9,29,https://www.g2.com/products/construct/reviews,4,22,x,https://www.capterra.com/p/201543/Construct-3,4.7,208,https://www.similarweb.com/website/construct.net/#overview,910.7K,43.18,6.43,00:11:41
CryEngine,https://www.facebook.com/cryengineofficial,43K,43K,https://twitter.com/cryengine,https://www.youtube.com/cryengine,50.1K,355,x,x,https://www.linkedin.com/company/crytek,https://en.wikipedia.org/wiki/CryEngine,25,https://www.cryengine.com,https://github.com/CRYTEK,233,https://alternativeto.net/software/cryengine/about,58,5,1,https://www.g2.com/products/cryengine/reviews,3.7,16,x,https://www.capterra.com/p/210664/CRYENGINE,4.8,6,https://www.similarweb.com/website/cryengine.com/#overview,115.2K,54.23,2.6,00:01:45
Game Maker,https://www.facebook.com/GameMakerEngine,255K,256K,https://twitter.com/GameMakerEngine,https://www.youtube.com/@GameMakerEngine,62.6K,155,x,x,https://www.linkedin.com/company/gamemaker,https://en.wikipedia.org/wiki/GameMaker,31,https://gamemaker.io,x,x,https://alternativeto.net/software/game-maker-studio/about,39,5,2,https://www.g2.com/products/gamemaker/reviews,4.1,32,x,https://www.capterra.com/p/158594/GameMaker-Studio,4.4,91,https://www.similarweb.com/website/gamemaker.io/#overview,1.3M,45.51,3.66,00:04:43
GameSalad,https://www.facebook.com/gamesalad,7.1K,7K,https://twitter.com/gamesalad,https://www.youtube.com/@gamesalad,8.69K,70,x,x,https://www.linkedin.com/company/gamesalad-inc,https://en.wikipedia.org/wiki/GameSalad,2,https://gamesalad.com,x,x,https://alternativeto.net/software/gamesalad/about,13,x,x,https://www.g2.com/products/gamesalad/reviews,4.4,15,x,https://www.capterra.com/p/158595/GameSalad,4.1,23,https://www.similarweb.com/website/gamesalad.com/#overview,111.7K,52.96,6.21,00:06:19
Gdevelop,https://www.facebook.com/GDevelopApp,3.2K,4.4K,https://twitter.com/GDevelopApp,https://www.youtube.com/@GDevelopApp,21.8K,118,https://www.tiktok.com/@gdevelop,x,https://www.linkedin.com/company/gdevelop,https://en.wikipedia.org/wiki/GDevelop,5,https://gdevelop.io,https://github.com/GDevelopApp,46,https://alternativeto.net/software/game-develop/about,170,4.5,12,https://www.g2.com/products/gdevelop/reviews,4.5,18,https://www.producthunt.com/products/gdevelop,https://www.capterra.com/p/158592/GDevelop,4.8,8,https://www.similarweb.com/website/gdevelop.io/#overview,507.7K,38.53,6.18,00:07:08
Godot,https://www.facebook.com/godotdevelopers,7.5K,8.6K,https://twitter.com/godotengine,https://www.youtube.com/@GodotEngineOfficial,54.5K,88,x,x,https://www.linkedin.com/company/godot-engine,https://en.wikipedia.org/wiki/Godot_(game_engine),28,https://godotengine.org,https://github.com/godotengine,3k,https://alternativeto.net/software/godot-engine/about,449,4.8,33,https://www.g2.com/products/godot/reviews,4.5,19,https://www.producthunt.com/products/godot#godot,https://www.capterra.com/p/234843/Godot-Engine,4.5,12,https://www.similarweb.com/website/godotengine.org/#overview,1.8M,43.32,3.85,00:05:39
Open 3D Engine,https://www.facebook.com/Open3DEngine,79,92,https://twitter.com/o3dengine,https://www.youtube.com/channel/UCTC8GDw1XidOTUBEFRbN-sA,3.84K,154,x,x,https://www.linkedin.com/company/o3de,https://en.wikipedia.org/wiki/Open_3D_Engine,4,https://o3de.org,https://github.com/o3de,223,https://alternativeto.net/software/lumberyard/about,18,2,1,x,x,x,x,x,x,x,https://www.similarweb.com/website/o3de.org/#overview,52.4K,45.9,4.11,00:04:50
PlayCanvas,https://www.facebook.com/playcanvas,1.4K,1.5K,https://twitter.com/playcanvas,https://www.youtube.com/@playcanvas,2.98K,52,x,x,https://www.linkedin.com/company/playcanvas,https://en.wikipedia.org/wiki/PlayCanvas,3,https://playcanvas.com,https://github.com/playcanvas,239,https://alternativeto.net/software/playcanvas/about,10,x,x,https://www.g2.com/products/playcanvas/reviews,4.6,6,https://www.producthunt.com/products/playcanvas,https://www.capterra.com/p/210379/PlayCanvas,x,x,https://www.similarweb.com/website/playcanvas.com/#overview,315.3K,36.48,7.24,00:11:55
Stencyl,https://www.facebook.com/stencyl,8.1K,8.1K,https://twitter.com/Stencyl,x,x,x,x,x,https://www.linkedin.com/company/stencyl-llc,https://en.wikipedia.org/wiki/Stencyl,4,https://stencyl.com,x,x,https://alternativeto.net/software/stencyl/about,70,x,x,https://www.g2.com/products/stencyl/reviews,4.4,12,https://www.producthunt.com/products/stencyl,https://www.capterra.com/p/158598/Stencyl,4.5,11,https://www.similarweb.com/website/stencyl.com/#overview,55.8K,44.16,1.98,00:04:43
Unity,https://www.facebook.com/unity3d,830789,853881,https://twitter.com/unity,https://www.youtube.com/user/Unity3D,1.16M,2.6K,x,x,https://www.linkedin.com/company/unity-technologies,https://en.wikipedia.org/wiki/Unity_(game_engine),53,https://unity.com,https://github.com/Unity-Technologies,6k,https://alternativeto.net/software/unity/about,336,3.8,12,https://www.g2.com/products/unity/reviews,4.5,336,https://www.producthunt.com/products/unity-3d#unity-3d,https://www.capterra.com/p/158591/Unity,4.6,757,https://www.similarweb.com/website/unity.com/#overview,13.3M,40.18,7.6,00:06:38
Unreal Engine,https://www.facebook.com/UnrealEngine,498K,x,https://twitter.com/unrealengine,http://www.youtube.com/unrealengine,979K,2.3K,x,x,https://www.linkedin.com/company/epic-games,https://en.wikipedia.org/wiki/Unreal_Engine,50,https://www.unrealengine.com,https://github.com/EpicGames,18.7k,https://alternativeto.net/software/unreal-engine/about,154,4.5,8,https://www.g2.com/products/unreal-engine/reviews,4.5,123,https://www.producthunt.com/products/unreal-engine,https://www.capterra.com/p/158599/Unreal-Engine,4.8,354,https://www.similarweb.com/website/unrealengine.com/#overview,8.9M,39.54,5.03,00:05:21
